2025-07-19 11:26:18 | INFO | No old log files to clean up
2025-07-19 11:30:06 | INFO | No old log files to clean up
2025-07-19 11:30:57 | INFO | No old log files to clean up
2025-07-19 11:33:46 | INFO | No old log files to clean up
2025-07-19 11:34:30 | INFO | No old log files to clean up
2025-07-19 11:34:56 | INFO | No old log files to clean up
2025-07-19 11:35:56 | INFO | No old log files to clean up
2025-07-19 11:35:56 | INFO | Engine created successfully
2025-07-19 11:35:56 | INFO | Starting application...
2025-07-19 11:35:59 | INFO | No old log files to clean up
2025-07-19 11:35:59 | INFO | Engine created successfully
2025-07-19 11:35:59 | INFO | Starting application...
2025-07-19 11:36:02 | INFO | Starting application...
2025-07-19 11:36:02 | INFO | No old log files to clean up
2025-07-19 11:36:02 | INFO | Log cleanup process completed
2025-07-19 11:55:23 | INFO | Application shutting down...
2025-07-19 11:55:23 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-19 11:55:27 | INFO | No old log files to clean up
2025-07-19 11:55:27 | INFO | Engine created successfully
2025-07-19 11:55:27 | INFO | Starting application...
2025-07-19 11:55:30 | INFO | Starting application...
2025-07-19 11:55:30 | INFO | No old log files to clean up
2025-07-19 11:55:30 | INFO | Log cleanup process completed
2025-07-19 11:55:52 | INFO | Application shutting down...
2025-07-19 11:55:52 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-19 11:55:55 | INFO | No old log files to clean up
2025-07-19 11:55:55 | INFO | Engine created successfully
2025-07-19 11:55:55 | INFO | Starting application...
2025-07-19 11:55:56 | INFO | Starting application...
2025-07-19 11:55:56 | INFO | No old log files to clean up
2025-07-19 11:55:56 | INFO | Log cleanup process completed
2025-07-19 11:59:37 | INFO | Application shutting down...
2025-07-19 11:59:37 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-19 11:59:40 | INFO | No old log files to clean up
2025-07-19 11:59:40 | INFO | Engine created successfully
2025-07-19 11:59:40 | INFO | Starting application...
2025-07-19 11:59:42 | INFO | Starting application...
2025-07-19 11:59:42 | INFO | No old log files to clean up
2025-07-19 11:59:42 | INFO | Log cleanup process completed
2025-07-19 12:00:08 | INFO | Application shutting down...
2025-07-19 12:00:08 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-19 12:00:11 | INFO | No old log files to clean up
2025-07-19 12:00:11 | INFO | Engine created successfully
2025-07-19 12:00:11 | INFO | Starting application...
2025-07-19 12:00:12 | INFO | Starting application...
2025-07-19 12:00:12 | INFO | No old log files to clean up
2025-07-19 12:00:12 | INFO | Log cleanup process completed
2025-07-19 12:13:13 | INFO | Application shutting down...
2025-07-19 12:13:13 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-19 12:13:16 | INFO | No old log files to clean up
2025-07-19 12:13:16 | INFO | Engine created successfully
2025-07-19 12:13:16 | INFO | Starting application...
2025-07-19 12:13:19 | INFO | Starting application...
2025-07-19 12:13:19 | INFO | No old log files to clean up
2025-07-19 12:13:19 | INFO | Log cleanup process completed
2025-07-19 12:40:40 | INFO | Application shutting down...
2025-07-19 12:40:40 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-19 12:40:43 | INFO | No old log files to clean up
2025-07-19 12:40:43 | INFO | Engine created successfully
2025-07-19 12:40:43 | INFO | Starting application...
2025-07-19 12:40:45 | INFO | Starting application...
2025-07-19 12:40:45 | INFO | No old log files to clean up
2025-07-19 12:40:45 | INFO | Log cleanup process completed
2025-07-19 12:40:47 | INFO | No old log files to clean up
2025-07-19 12:40:47 | INFO | Engine created successfully
2025-07-19 12:40:48 | INFO | Starting application...
2025-07-19 12:40:49 | INFO | Starting application...
2025-07-19 12:40:49 | INFO | No old log files to clean up
2025-07-19 12:40:49 | INFO | Log cleanup process completed
2025-07-19 12:40:56 | INFO | Application shutting down...
2025-07-19 12:40:56 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-19 12:40:59 | INFO | No old log files to clean up
2025-07-19 12:40:59 | INFO | Engine created successfully
2025-07-19 12:40:59 | INFO | Starting application...
2025-07-19 12:41:01 | INFO | Starting application...
2025-07-19 12:41:01 | INFO | No old log files to clean up
2025-07-19 12:41:01 | INFO | Log cleanup process completed
2025-07-19 12:41:29 | INFO | Application shutting down...
2025-07-19 12:41:29 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-19 12:41:31 | INFO | No old log files to clean up
2025-07-19 12:41:31 | INFO | Engine created successfully
2025-07-19 12:41:31 | INFO | Starting application...
2025-07-19 12:41:32 | INFO | Starting application...
2025-07-19 12:41:32 | INFO | No old log files to clean up
2025-07-19 12:41:32 | INFO | Log cleanup process completed
2025-07-19 12:42:59 | INFO | Application shutting down...
2025-07-19 12:42:59 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-19 12:43:04 | INFO | No old log files to clean up
2025-07-19 12:43:04 | INFO | Engine created successfully
2025-07-19 12:43:04 | INFO | Starting application...
2025-07-19 12:43:06 | INFO | Starting application...
2025-07-19 12:43:06 | INFO | No old log files to clean up
2025-07-19 12:43:06 | INFO | Log cleanup process completed
2025-07-19 16:02:43 | INFO | No old log files to clean up
2025-07-19 16:02:44 | INFO | Engine created successfully
2025-07-19 16:02:44 | INFO | Starting application...
2025-07-19 16:02:46 | INFO | No old log files to clean up
2025-07-19 16:02:47 | INFO | Engine created successfully
2025-07-19 16:02:47 | INFO | Starting application...
2025-07-19 16:02:49 | INFO | Starting application...
2025-07-19 16:02:49 | INFO | No old log files to clean up
2025-07-19 16:02:49 | INFO | Log cleanup process completed
